n_test,pct_up,pct_down,pct_neutral,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,custom_cost_mean,custom_cost_std,abstention_cost,abstention_accuracy,feature_group,model
152,30.9,27.0,42.1,0.3618421052631579,0.0,0.32625298585001655,0.0,0.3471258216571527,0.0,0.03417535385176707,0.0,1.0592105263157894,0.0,0.5789473684210527,0.42105263157894735,all,logreg
152,30.9,27.0,42.1,0.3881578947368421,0.009304036594559839,0.31242482270908306,0.005572180137559629,0.3757477800841839,0.012731595099052716,0.09399264632199228,0.02919993470136347,1.0635964912280702,0.043749862594868405,0.5789473684210527,0.42105263157894735,all,lstm
152,30.9,27.0,42.1,0.35964912280701755,0.00820538900608321,0.29404964413415174,0.005929364714819155,0.34796279478752234,0.0043232550874323285,0.040506516953411245,0.009305440064859859,1.074561403508772,0.0031013455315199285,0.5789473684210527,0.42105263157894735,all,attention
152,30.9,27.0,42.1,0.3881578947368421,0.0,0.3680854309687261,0.0,0.3777622816121778,0.0,0.07868925195580807,0.0,1.019736842105263,0.0,0.5789473684210527,0.42105263157894735,no_sentiment,logreg
152,30.9,27.0,42.1,0.3991228070175438,0.006202691063039883,0.32986431566117,0.008593110249519606,0.38436436890964654,0.006775610329566792,0.10077154926819948,0.008090193069178917,1.0131578947368423,0.03223012819451546,0.5789473684210527,0.42105263157894735,no_sentiment,lstm
152,30.9,27.0,42.1,0.39035087719298245,0.016410778012166415,0.34040628881569873,0.013676524670739243,0.37923982298333625,0.01946100887826669,0.0905018319016434,0.03445799515317472,1.030701754385965,0.027036903521793793,0.5789473684210527,0.42105263157894735,no_sentiment,attention
152,30.9,27.0,42.1,0.3355263157894737,0.0,0.2876252723311547,0.0,0.33279006659747445,0.0,0.004450676615274941,0.0,1.125,0.0,0.5789473684210527,0.42105263157894735,price_only,logreg
152,30.9,27.0,42.1,0.34649122807017546,0.059413233263789764,0.22076885923818054,0.05638753727814579,0.33468834688346877,0.006091677001475098,0.008694906399558286,0.011183947692627394,0.986842105263158,0.2902203289488523,0.5789473684210527,0.42105263157894735,price_only,lstm
152,30.9,27.0,42.1,0.4232456140350877,0.003101345531519955,0.20268137253747698,0.007283918747467533,0.33569739952718675,0.0033432944736952654,0.02058585425963822,0.029112794287016325,0.581140350877193,0.003101345531519929,0.5789473684210527,0.42105263157894735,price_only,attention
152,30.9,27.0,42.1,0.375,0.0,0.3666168835786929,0.0,0.3685753978550424,0.0,0.06759461330265314,0.0,1.0986842105263157,0.0,0.5789473684210527,0.42105263157894735,fundamentals_only,logreg
152,30.9,27.0,42.1,0.40350877192982454,0.0031013455315199285,0.3368146438879774,0.008896311509288086,0.3933341261604106,0.007150820344068083,0.11916617959113623,0.017461996594708797,1.0350877192982455,0.03054471113417571,0.5789473684210527,0.42105263157894735,fundamentals_only,lstm
152,30.9,27.0,42.1,0.3925438596491228,0.011182060336826274,0.3219473978467263,0.006389090784665103,0.377554164504411,0.013725398634650502,0.09348819720422057,0.024622619448588578,1.0460526315789476,0.01936789663668387,0.5789473684210527,0.42105263157894735,fundamentals_only,attention
152,30.9,27.0,42.1,0.39473684210526316,0.0,0.285064935064935,0.0,0.34075797872340424,0.0,0.0075870757576656355,0.0,0.6973684210526315,0.0,0.5789473684210527,0.42105263157894735,sentiment_only,logreg
152,30.9,27.0,42.1,0.2807017543859649,0.04341883744127924,0.20827684042799785,0.038479595166513246,0.2923441734417344,0.02146469548044275,-0.08386068231764161,0.04374044936060891,1.1228070175438596,0.1312862240973313,0.5789473684210527,0.42105263157894735,sentiment_only,lstm
152,30.9,27.0,42.1,0.3684210526315789,0.037601816226934745,0.20700906321821355,0.008287049305005638,0.30043191056910573,0.02327458577102759,-0.0742120470962681,0.05281117117827294,0.7017543859649124,0.08832030949825558,0.5789473684210527,0.42105263157894735,sentiment_only,attention
