n_test,pct_up,pct_down,pct_neutral,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,custom_cost_mean,custom_cost_std,abstention_cost,abstention_accuracy,label,model
152,40.8,37.5,21.7,0.39473684210526316,0.0,0.3619491274770778,0.0,0.37973967176004525,0.0,0.06277534085643094,0.0,1.1973684210526316,0.0,0.7828947368421053,0.21710526315789475,fixed +/-1%,logreg
152,40.8,37.5,21.7,0.375,0.0,0.1818181818181818,0.0,0.3333333333333333,0.0,0.0,0.0,1.4407894736842106,0.0,0.7828947368421053,0.21710526315789475,fixed +/-1%,lstm
152,40.8,37.5,21.7,0.3574561403508772,0.00620269106303991,0.21910960452769182,0.01651957742764179,0.3147519335974344,0.004401909786673486,-0.06296979148046007,0.02438139036502839,1.493421052631579,0.018608073189119573,0.7828947368421053,0.21710526315789475,fixed +/-1%,attention
152,34.2,32.2,33.6,0.40789473684210525,0.0,0.3993750631574568,0.0,0.4051774555976236,0.0,0.1108717054427543,0.0,1.0526315789473684,0.0,0.6644736842105263,0.3355263157894737,fixed +/-2%,logreg
152,34.2,32.2,33.6,0.31140350877192985,0.0031013455315199285,0.1624729591396258,0.004788967034383272,0.32190654039393535,0.0032715258795335132,-0.07196952599202,0.009306743292636978,1.368421052631579,0.005371688032419222,0.6644736842105263,0.3355263157894737,fixed +/-2%,lstm
152,34.2,32.2,33.6,0.30921052631578944,0.01421215065440322,0.2006162089481581,0.009918172357799349,0.317980183526402,0.015165876062979524,-0.039274717011551254,0.039307453812812386,1.3925438596491226,0.05486840352279298,0.6644736842105263,0.3355263157894737,fixed +/-2%,attention
152,30.9,27.0,42.1,0.3618421052631579,0.0,0.32625298585001655,0.0,0.3471258216571527,0.0,0.03417535385176707,0.0,1.0592105263157894,0.0,0.5789473684210527,0.42105263157894735,fixed +/-3%,logreg
152,30.9,27.0,42.1,0.3881578947368421,0.009304036594559839,0.31242482270908306,0.005572180137559629,0.3757477800841839,0.012731595099052716,0.09399264632199228,0.02919993470136347,1.0635964912280702,0.043749862594868405,0.5789473684210527,0.42105263157894735,fixed +/-3%,lstm
152,30.9,27.0,42.1,0.35964912280701755,0.00820538900608321,0.29404964413415174,0.005929364714819155,0.34796279478752234,0.0043232550874323285,0.040506516953411245,0.009305440064859859,1.074561403508772,0.0031013455315199285,0.5789473684210527,0.42105263157894735,fixed +/-3%,attention
152,24.3,18.4,57.2,0.48026315789473684,0.0,0.4163117783665326,0.0,0.42422595008801905,0.0,0.15790318479306842,0.0,0.7697368421052632,0.0,0.4276315789473684,0.5723684210526315,fixed +/-5%,logreg
152,24.3,18.4,57.2,0.5767543859649122,0.00620269106303991,0.2641263858373623,0.017384770030413763,0.3429957050646706,0.00861162817120651,0.06556094956627422,0.06026886536658227,0.4276315789473684,0.01074337606483849,0.4276315789473684,0.5723684210526315,fixed +/-5%,lstm
152,24.3,18.4,57.2,0.5657894736842105,0.005371688032419222,0.2528436363938522,0.005754278914962272,0.3329536432984708,0.0015870441382862266,0.015879769793377584,0.01966250862948756,0.4517543859649123,0.003101345531519955,0.4276315789473684,0.5723684210526315,fixed +/-5%,attention
152,36.2,30.9,32.9,0.34210526315789475,0.0,0.301879824854485,0.0,0.33013539651837526,0.0,-0.0032640441884747126,0.0,1.131578947368421,0.0,0.6710526315789473,0.32894736842105265,vol-scaled x1.0,logreg
152,36.2,30.9,32.9,0.3442982456140351,0.03656432456257251,0.211878114241272,0.07112174967759007,0.35602407049215556,0.0320895482302496,0.05015277863308414,0.07257394713977482,0.9407894736842106,0.3353327615098594,0.6710526315789473,0.32894736842105265,vol-scaled x1.0,lstm
152,36.2,30.9,32.9,0.2982456140350877,0.013518451760896874,0.19370661877826478,0.015579021490910209,0.3163550397592951,0.01342983860710479,-0.04743096374669246,0.04268818173192478,1.4429824561403508,0.04031749190975934,0.6710526315789473,0.32894736842105265,vol-scaled x1.0,attention
152,28.9,25.7,45.4,0.4144736842105263,0.0,0.4037322258737867,0.0,0.4203067463937029,0.0,0.13114438730555725,0.0,0.9144736842105263,0.0,0.5460526315789473,0.45394736842105265,vol-scaled x1.5,logreg
152,28.9,25.7,45.4,0.3881578947368421,0.09304036594559835,0.18987660323661862,0.03851897259755175,0.3345720302242041,0.0017517819427389045,0.013458160052432317,0.011728592388333276,0.8179824561403509,0.35669518616399054,0.5460526315789473,0.45394736842105265,vol-scaled x1.5,lstm
152,28.9,25.7,45.4,0.23245614035087717,0.0031013455315199415,0.16833356080588813,0.009457015358880582,0.29654685089467697,0.001984776167100308,-0.07455734651596352,0.008053627274117403,1.3903508771929822,0.008205389006083261,0.5460526315789473,0.45394736842105265,vol-scaled x1.5,attention
