n_test,pct_up,pct_down,pct_neutral,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,custom_cost_mean,custom_cost_std,abstention_cost,abstention_accuracy,embargo_days,model,note
152,30.9,27.0,42.1,0.3618421052631579,0.0,0.32625298585001655,0.0,0.3471258216571527,0.0,0.03417535385176707,0.0,1.0592105263157894,0.0,0.5789473684210527,0.42105263157894735,0,logreg,
152,30.9,27.0,42.1,0.3881578947368421,0.009304036594559839,0.31242482270908306,0.005572180137559629,0.3757477800841839,0.012731595099052716,0.09399264632199228,0.02919993470136347,1.0635964912280702,0.043749862594868405,0.5789473684210527,0.42105263157894735,0,lstm,
152,30.9,27.0,42.1,0.35964912280701755,0.00820538900608321,0.29404964413415174,0.005929364714819155,0.34796279478752234,0.0043232550874323285,0.040506516953411245,0.009305440064859859,1.074561403508772,0.0031013455315199285,0.5789473684210527,0.42105263157894735,0,attention,
45,28.9,37.8,33.3,0.3111111111111111,0.0,0.2930808080808081,0.0,0.3324283559577677,0.0,-0.016073093873066865,0.0,1.1777777777777778,0.0,0.6666666666666666,0.3333333333333333,7,logreg,
45,28.9,37.8,33.3,0.37777777777777777,0.03628873693012116,0.2636477232968461,0.07004732835156251,0.3612200435729847,0.024740861989679112,0.049725777609696105,0.04537000499076845,0.8888888888888888,0.15817893706713052,0.6666666666666666,0.3333333333333333,7,lstm,
45,28.9,37.8,33.3,0.3333333333333333,0.01814436846506058,0.26481657095692185,0.015679521873531888,0.31590413943355117,0.017088166929087198,-0.03367710883446097,0.032297933878478645,1.0814814814814815,0.027715980642769915,0.6666666666666666,0.3333333333333333,7,attention,
33,,,,,,,,,,,,,,,,14,,test partition too small to evaluate
18,,,,,,,,,,,,,,,,21,,test partition too small to evaluate
7,,,,,,,,,,,,,,,,30,,test partition too small to evaluate
